Region,Code,College Name,Website,STD Code,Phone,Rural/Urban
BENGALURU,GD,GOPALAN COLLEGE OF ENGINEERING MANAGEMENT,http://www.gopalancolleges.com/,080,42229748,Urban
BENGALURU,BH,BENGALURU TECHNOLOGICAL INSTITUTE,http://www.btibangalore.org/,080,65681080,Urban
BENGALURU,JT,JYOTHY INSTITUTE OF TECHNOLOGY,http://jyothyit.ac.in/,080,28435052,Urban
BENGALURU,DT,DAYANANDA SAGAR ACADEMY OF TECHNOLOGY AND MGMT.,https://dsatm.edu.in/,080,28432909,Urban
BENGALURU,AJ,CAMBRIDGE INSTITUTE OF TECHNOLOGY NORTH CAMPUS BANGALORE,http://www.ait-b.edu.in/,080,26851751,
BENGALURU,DC,DAYANAND SAGAR SCHOOL OF ARCHITECTURE,https://www.dsca.edu.in/,080,4218117,Urban
BENGALURU,IS,IMPACT SCHOOL OF ARCHITECTURE,http://isab.in/,080,23334101,
BENGALURU,RW,R V COLLEGE OF ARCHITECTURE,http://www.rvca.in/,080,22717807,Urban
BENGALURU,BQ,BMS SCHOOL OF ARCHITECTURE,https://bmssa.ac.in/,080,28463208,Urban
BENGALURU,JA,S J B School of Arch. & Planning,http://www.sjbsap.edu.in/,080,64500177,Urban
BENGALURU,GO,GOPALAN SCHOOL OF ARCHITECTURE & PLANNING,http://www.gopalancolleges.com/gsap/,,,
BENGALURU,RR,R.R. SCHOOL OF ARCHITECTURE,http://www.rrsa.ac.in/,080,42229748,Urban
BENGALURU,AN,ADITHYA ACADEMY OF ARCHITECTURE & DESIGN,http://aaad.in/,080,28571292,Urban
BENGALURU,PC,BGS SCHOOL OF ARCHITECTURE & PLANNING,http://bgssap.edu.in/,080,28437582,Urban
BENGALURU,KF,K S SCHOOL OF ARCHITECTURE,http://kssem.edu.in/,080,28425013,Urban
BENGALURU,EE,EAST WEST COLLEGE OF ENGG,,080,28566115,Urban
BENGALURU,VB,SRI VINAYAKA INSTITUTE OF TECHNOLOGY,https://www.svgi.edu.in/,08153,270975,Urban
BENGALURU,IV,Sir. M. V. School of Architecture,https://www.sirmvit.edu/,080,23606999,Urban
BENGALURU,NS,Nitte School of Architecture,http://www.nittesoa.ac.in/,080,22167900,Urban
BENGALURU,IT,HMS School of Architecture,http://www.hmsit.ac.in/,0816,2214309,Rural
BENGALURU,IE,Brindavan College of Architecture,https://www.brindavancollege.com/,080,28478388,Urban
BENGALURU,CF,BMS College of Architecture,http://www.bmsca.org,080,26622130,Urban
BENGALURU,OQ,OXFORD SCHOOL OF ARCHITECTURE,,080,30219785,Urban
BENGALURU,RQ,RNS SCHOOL OF ARCHITECTURE,http://rnssa.org/,080,28611880/81,Urban
BENGALURU,SW,SRI BASAVESHWAR INSTITUTE OF TECHNOLOGY,http://www.sbesinstitutions.com/,08134,294627,Urban
BENGALURU,RF,R V INSTITUTE OF TECHNOLOGY AND MGMT,https://rvitm.edu.in/,080,68110123,Urban
BENGALURU,WS,EAST WEST SCHOOL OF ARCHITECTURE,,,,
BENGALURU,,BGS College of Engineering & Technology,https://bgskh.org/,,,
BENGALURU,,Aditya College of Engineering & Technology,https://www.acetedu.net,,,
BENGALURU,,Akash Institute of Engineering & Technology,https://www.akashiet.com,,,
BENGALURU,,Ghousia Institute of Technology for Women,https://www.ghousiagroup.com,,,
BELAGAVI,AB,ANJUMAN INSTITUTE OF TECHNOLOGY & MANAGEMENT,http://www.aitmb.ac.in/,08385,226554,Rural
BELAGAVI,BL,BLDEAS COLLEGE OF ENGINEERING,http://bldeacet.ac.in/,08352,261120,Urban
BELAGAVI,GO,GOVT. ENGINEERING COLLEGE HAVERI,https://www.karnataka.gov.in/gechaveri/Pages/Home.aspx,08375,233657,Urban
BELAGAVI,HN,HIRASUGAR INSTITUTE OF TECHNOLOGY,http://hsit.ac.in/,08333,278887,Rural
BELAGAVI,KD,KLE COLLEGE OF ENG. AND TECHNOLOGY CHIKODI,http://klecet.edu.in/,08338,295499,Urban
BELAGAVI,KE,KLE INSTITUTE OF TECH HUBLI,https://www.kleit.ac.in/,0836,2232681,Urban
BELAGAVI,KL,KLE Dr M. S. SHESHGIRI COLLEGE OF ENGINEERING AND TECHNOLOGY,http://www.klescet.ac.in/,0831,2443881,Urban
BELAGAVI,MB,MALIK SANDAL INSTITUTE OF ART AND ARCHITECTURE,http://www.secab.org/,08352,276158,Urban
BELAGAVI,MM,MARATHA MANDALS ENGINEERING COLLEGE,http://mmec.edu.in/,0831,2416255,Urban
BELAGAVI,RH,RURAL ENGINEERING COLLEGE HULKOTI,http://rechulkoti.edu.in/,08372,289253,Rural
BELAGAVI,BU,S G BALEKUNDRI INST. OF TECH,http://sgbit.edu.in,0831,2407152,Urban
BELAGAVI,SR,S.T.J. INSTITUTE OF TECHNOLOGY,http://stjit.net/,08373,266343,Rural
BELAGAVI,SA,SECAB INSTITUTE OF ENGINEERING AND TECHNOLOGY,http://www.secab.org/,08352,276930,Urban
BELAGAVI,KA,SMT. KAMALA AND SRI VENKAPPA M. AGADI COLLEGE OF ENGINEERING AND TECHNOLOGY,http://www.agadiengcollege.com/,08487,290057,Rural
BELAGAVI,TG,SRI TONTADARAYA COLLEGE OF ENGINEERING,http://tce.ac.in/,08372,236933,Urban
BELAGAVI,VD,VISHWANATHARAO DESHPANDE INSTITUTE OF TECHNOLOGY HALIYAL,http://vdrit.org/,08284,220861,Rural
BELAGAVI,GB,GOVT. ENGINEERING COLLEGE HUVINHADAGALI,,,,Rural
BELAGAVI,GP,GOVERNMENT ENGINEERING COLLEGE KARWAR,http://dte.karnataka.gov.in/Institutes/geckarwar/,08382,226343,Urban
BELAGAVI,AG,ANGADI INSTITUTE OF TECHNOLOGY AND MGMT.,http://www.aitmbgm.ac.in/,0831,24051416,Rural
BELAGAVI,JI,JAIN COLLEGE OF ENGINEERING,https://www.jce.ac.in/,0831,2411183,Rural
BELAGAVI,VS,V S M'S INSTITUTE OF TECHNOLOGY,https://vsmnipani.org/,08338,221391,Rural
BELAGAVI,AV,AGM RURAL COLLEGE OF ENGINEERING & TECHNOLOGY,http://agmrcet.ac.in/web/,0836,2000444,Rural
BELAGAVI,GJ,GRIJABAI SAIL INSTITUTE OF TECHNOLOGY KARWAR,http://gsit.in/,08382,285565,Rural
BELAGAVI,LB,BILURU GURUBASAVA MAHASWAMIJI INSTITUTE OF TECHNOLOGY,http://bgmitm.ac.in/,08354,281404,Rural
BELAGAVI,VL,BASAVA ENGG SCHOOL OF TECHNOLOGY ZALAKI,http://www.bestedu.in/,08422,282020,Rural
BELAGAVI,IH,JAIN COLLEGE OF ENGG HUBBALLI,http://www.jcethbl.in/,,7338697711,Rural
BELAGAVI,LG,GOVERNMENT ENGINEERING COLLEGE TALAKAL,http://dte.karnataka.gov.in/Institutes/gectalakal,,,Rural
BELAGAVI,KF,ANGADI SCHOOL OF ARCHITECTURE BELAGAVI,https://asabgm.org/,0831,"2438123,2438100",Rural
BELAGAVI,JR,JAIN COLLEGE OF ENGINEERING & RESEARCH BELAGAVI,http://jcer.in/,0831,2483021/22,Urban
BELAGAVI,,Govt. Engineering College Ron Road,,,,Rural
KALABURAGI,BK,BASAVAKALYAN ENGINEERING COLLEGE,http://www.betbkec.com/,08481,251400,Rural
KALABURAGI,GU,GOVT. ENGINEERING COLLEGE RAICHUR,http://www.gecraichur.ac.in/,08532,25122,Rural
KALABURAGI,GN,GURU NANAK DEV ENGINEERING COLLEGE,http://www.gndecbidar.in/,08482,235214,Urban
KALABURAGI,KC,K.C.T. ENGINEERING COLLEGE,http://kctengineering.edu.in/,08472,258020,Urban
KALABURAGI,KB,KHAJA BANDA NAWAZ COLLEGE OF ENGINEERING,https://kbnce.org/,08472,257487,Urban
KALABURAGI,NA,NAVODAYA INSTITUTE OF TECHNOLOGY,https://www.navodaya.edu.in/,08532,223216,Urban
KALABURAGI,PG,PROUDADEVARAYA INSTITUTE OF TECHNOLOGY,http://pdit.ac.in/,08394,259521,Urban
KALABURAGI,VC,RAO BAHADDUR Y MAHABALESHWARAPPA ENGG COLLEGE,http://ww38.rymec.org/,08392,244809,Urban
KALABURAGI,RB,BHEEMANNA KHANDRE INSTITUTE OF TECHNOLOGY BHALKI,http://www.recbhalki.org/,08484,262288,Rural
KALABURAGI,SL,SLN COLLEGE OF ENGINEERING,http://slnceraichur.com/,08532,251048,Urban
KALABURAGI,VN,VEERAPPA NISTY ENGINEERING COLLEGE,http://veerappanistyecs.org/,08472,290004,Rural
KALABURAGI,LA,LINGARAJ APPA ENGINEERING COLLEGE,http://www.lingarajappaec.ac.in/,08472,273652,Urban
KALABURAGI,GF,GODUTAI ENGINEERING COLLEGE FOR WOMEN,http://www.godutaiecw.org/,08472,277840,Urban
KALABURAGI,TS,SHETTY INSTITUTE OF TECHNOLOGY,http://sitgulbarga.org/,08472,296666,Urban
KALABURAGI,NG,GOVERNMENT ENGINEERING COLLEGE GANGAVATI,,,,
KALABURAGI,NG,GOVERNMENT ENGINEERING COLLEGE BIDAR,,,,
